"geno","yield","yield_SE"
"1",680.105028319847,33.9782870343709
"2",648.095883098395,33.9774178732694
"3",607.617228548759,33.9865667292278
"4",546.627154793811,35.776129395191
"5",597.28483053046,34.1447644082797
"6",557.867391508347,34.1981555169729
"7",510.299296050717,33.6199182915928
"8",564.220412201026,33.9797805529024
"9",491.243291874935,34.3699123332252
"10",604.122673653804,34.8507300945721
"11",525.742088415798,34.4425069289426
"12",545.210617538015,33.6524685714028
"13",619.857781540461,35.1229624404878
"14",421.869213103006,34.2979046549871
"15",486.340237383058,33.792362616952
"16",695.727921110244,35.1238451534738
"17",645.062752618024,34.0090426645722
"18",552.734949000618,33.7798792504035
"19",608.167222887435,33.9312848184577
"20",571.683519098759,33.9873504222929
"21",564.270316581435,33.6787412849924
"22",551.397136529552,33.6403979069534
"23",616.128128544765,34.5812260628557
"24",622.7518873092,33.451538341038
"25",498.443404041832,33.6584489117275
"26",599.732497486795,33.509646327043
"27",486.814899471326,34.0612054532466
"28",628.139991830805,33.7102102598985
"29",575.13503459298,34.2745814669562
"30",527.816745905868,34.3767978733957
"31",577.961501698943,34.0281432816491
"32",601.072857571461,33.8861202623158
"33",493.613011551783,34.3287861589907
"34",693.180536494308,34.0938490724887
"35",495.24727966713,34.1397324017756
"36",660.299174730858,33.8263536542554
"37",551.295691729918,33.6331622530503
"38",470.786194371103,34.0485727156306
"39",520.589980088144,33.6497637578132
"40",636.335997396608,33.6771923067176
"41",597.108099115351,33.5811603210036
"42",688.102506300541,33.5620841855383
"43",690.920343064587,33.6866462654668
"44",643.300300105341,33.9002577736796
"45",642.47302982544,33.6677732395089
"46",667.830292393423,33.4055981149713
"47",585.520482233739,34.7400466108071
"48",655.607794333851,33.4554644938068
"49",596.916996821672,33.6463182563179
"50",596.496330887388,33.5632137565703
"51",583.715913998424,33.8694708002905
"52",619.558977599389,33.5680464115901
"53",574.870373157974,33.7027312839685
"54",595.088382832977,33.6873013570531
"55",673.817922331614,33.5991208898347
"56",624.722604524115,33.6947311025367
"57",589.76659697832,34.3192201291796
"58",683.40828845842,35.3712339188974
"59",613.206577774309,34.3228671175108
"60",669.67187719945,34.0240563482913
"61",636.15149988499,33.786243511272
"62",637.681189362194,34.1121147988928
"63",554.663680085273,34.013378034973
"64",641.757823253312,33.6709420584832
"65",637.768041471003,33.6954427912123
"66",597.230272949314,33.6021259155065
"67",557.910040841289,34.1146019224002
"68",601.844077194279,33.3464603517249
"69",608.333138851763,33.475185614162
"70",573.527288613751,33.5920709938891
"71",558.346548009937,33.6902478378878
"72",635.221220161549,34.2754019803722
"73",534.119922525275,33.6629862892454
"74",590.869529959863,34.1669261693206
"75",599.541319393078,33.6066903229668
"76",518.897264924253,33.5824568392612
"77",547.124174222665,33.9918657213567
"78",537.820558818524,34.2340046818253
"79",517.692193587619,35.3160127731191
"80",470.782500958358,33.8057064453987
"81",662.997128625627,34.2764797534452
"82",668.542349942644,27.9159385663332
"83",626.20675837872,34.1788244428944
"84",547.374664730206,34.4417709478396
"85",597.16186187038,35.0905937841344
"86",540.543507751672,33.548917384625
"87",591.227068778142,35.7546000450784
"88",621.514006049268,34.0999774299857
"89",588.288497792525,26.9834620386366
"90",617.289055151231,33.6979932897048
"91",555.556870517889,34.2148861234552
"92",583.354553324877,33.8890316320421
"93",640.790821696124,33.7709687680898
"94",676.09651054325,33.9433559251125
"95",600.402451401659,33.3880413869876
"96",674.977299129399,33.6498245304562
"97",481.193224290761,33.5392923613476
"98",694.173580498452,33.7211686963089
"99",732.022090877596,33.8105394655075
"100",590.686649497741,34.6240939482005
"101",677.570357603788,33.6521923026319
"102",508.999905729484,33.631327036817
"103",577.016046261646,33.625833319431
"104",492.411078852041,26.9520934848861
"105",620.75343494122,33.7607391271281
"106",602.892857224726,33.9436480518563
"107",575.104372742318,33.8220396368263
